rank,rank_delta,player_name,country_code,event_count,average_points,total_points
42,0,Ai Suzuki,JPN,61,2.58,157.48
43,0,A Lim KIM,KOR,59,2.58,152.29
44,2,Miyu Yamashita,JPN,35,2.52,88.26
45,-1,Ji Yai SHIN,KOR,61,2.5,152.79
46,3,In Gee Chun,KOR,51,2.42,123.41
47,-2,Stacy Lewis,USA,48,2.41,115.62
48,-1,Brittany Altomare,USA,55,2.4,131.75
49,-1,Hee Jeong Lim,KOR,62,2.38,147.79
50,1,Anna Nordqvist,SWE,54,2.37,128.01
51,-1,Hyun Kyung PARK,KOR,58,2.33,134.89
52,6,Matilda Castren,FIN,38,2.28,86.53
53,-1,Georgia Hall,ENG,56,2.28,127.48
54,-1,Sakura Koiwai,JPN,74,2.26,167.46
55,-1,Marina Alex,USA,45,2.24,100.66
56,6,Da Yeon LEE,KOR,49,2.21,108.24
57,-2,Nanna Koerstz Madsen,DEN,52,2.2,114.43
58,-2,Angela Stanford,USA,50,2.17,108.45
59,-2,Celine Boutier,FRA,61,2.16,131.76
60,-1,Leona Maguire,IRL,53,2.14,113.42
61,2,Gaby Lopez,MEX,55,2.11,115.91
62,-2,Yealimi Noh,USA,43,2.11,90.54
63,1,Xiyu Lin,CHN,55,2.08,114.25
64,-3,Seon Woo BAE,KOR,69,2.07,142.74
65,1,Caroline Masson,GER,54,2.04,110.24
66,-1,So Mi LEE,KOR,57,1.99,113.7
67,1,Angel Yin,USA,50,1.99,99.29
68,-1,Yuna  Nishimura,JPN,47,1.98,93.14
69,0,Mina Harigae,USA,45,1.91,86.06
70,0,Na Rin AN,KOR,56,1.86,104.3
71,0,Momoko Ueda,JPN,60,1.84,110.17
72,1,Jenny Shin,KOR,53,1.83,97.09
73,1,Yu Liu,CHN,59,1.82,107.32
74,-2,Madelene Sagstrom,SWE,52,1.81,94.24
75,0,Emily Kristine Pedersen,DEN,42,1.76,74.04
76,0,MinYoung2 Lee,KOR,66,1.74,114.58
77,0,Ashleigh Buhai,RSA,61,1.62,98.84
78,49,Maiko Wakabayashi,JPN,31,1.56,54.58
79,3,Ji Yeong2 KIM,KOR,60,1.54,92.5
80,0,Jennifer Song,USA,48,1.54,73.75
81,-2,Jasmine Suwannapura,THA,64,1.53,98.12
82,-1,Wei-Ling Hsu,TPE,58,1.53,88.81
83,-5,Mao Saigo,JPN,41,1.5,61.42
84,0,Han Sol JI,KOR,57,1.47,83.73
85,-2,Eun-Hee Ji,KOR,51,1.44,73.69
86,3,Atthaya Thitikul,THA,15,1.44,50.27
87,3,Sayaka Takahashi,JPN,71,1.42,100.79
88,-2,Azahara Munoz,ESP,59,1.42,83.74
89,-4,Minami Katsu,JPN,68,1.41,95.56
90,-3,Jodi Ewart Shadoff,ENG,49,1.4,68.5
91,-3,Mi Hyang Lee,KOR,58,1.4,81.07
92,0,Lauren Stephenson,USA,49,1.36,66.55
93,1,Eri Okayama,JPN,66,1.34,88.63
94,-3,So Young LEE,KOR,59,1.33,78.55
95,0,Brittany Lincicome,USA,33,1.32,46.09
96,-3,A Yean CHO,KOR,62,1.32,81.63
97,0,Erika Hara,JPN,69,1.31,90.68
98,-2,Cheyenne Knight,USA,57,1.31,74.87
99,-1,Bronte Law,ENG,53,1.31,69.5
100,-1,Esther Henseleit,GER,44,1.28,56.2
101,0,Chella Choi,KOR,52,1.27,66.15
102,2,Su-Hyun Oh,AUS,56,1.26,70.5
103,0,Giulia Molinaro,ITA,40,1.26,50.32
104,-2,Perrine Delacour,FRA,46,1.25,57.49
105,-5,I.K. Kim,KOR,31,1.25,43.74
106,-1,Momoko Osato,JPN,73,1.24,90.43
107,-1,Sarah Schmelzel,USA,53,1.23,65.3
108,1,Morgan Pressel,USA,44,1.23,54.21
109,-2,Katherine Kirk,AUS,56,1.22,68.19
110,-2,Nicole Broch Larsen,DEN,50,1.21,60.51
111,0,Erika Kikuchi,JPN,67,1.2,80.43
112,-2,Kristen Gillman,USA,55,1.2,66.02
113,2,Pajaree Anannarukarn,THA,45,1.18,53.23
114,-2,Yui Kawamoto,JPN,67,1.16,77.73
115,-2,Jung Min LEE,KOR,57,1.16,65.95
116,-2,Ga Young LEE,KOR,58,1.16,67.07
117,0,Mamiko Higa,JPN,71,1.14,80.94
118,-2,Song Yi AHN,KOR,56,1.14,63.8
119,-1,Cydney Clanton,USA,50,1.13,56.59
120,0,Mi Jeong JEON,KOR,64,1.1,70.55
121,-2,Alison Lee,USA,40,1.1,43.95
122,-1,Stephanie Kyriacou,AUS,22,1.08,37.65
123,-1,Chae Yoon PARK,KOR,58,1.05,60.67
124,-1,Ritsuko Ryu,JPN,65,1.03,67.27
125,0,Gabriela Ruffels,AUS,19,1.03,36.17
126,-2,Cristie Kerr,USA,48,1.03,49.33
127,-1,Ryann O'Toole,USA,48,1.02,48.88
128,4,Yun Ji Jeong,KOR,31,1.01,35.44
129,-1,Elizabeth Szokol,USA,45,0.99,44.7
130,0,Lala Anai,JPN,73,0.99,72.01
131,-2,Christina Kim,USA,48,0.98,47.01
132,6,Yuri Yoshida,JPN,42,0.97,40.87
133,-2,Hee Young Park,KOR,44,0.97,42.48
134,0,Gerina Piller,USA,50,0.96,48.11
135,-2,Stephanie Meadow,NIR,48,0.96,46.1
136,5,Ji Young PARK,KOR,58,0.96,55.63
137,3,Ju Young PAK,KOR,58,0.96,55.47
138,150,Ye Sung JUN,KOR,31,0.95,33.41
139,-2,Min Lee,TPE,41,0.95,38.99
140,-4,Annie Park,USA,52,0.94,48.95
141,-6,Ji Hyun KIM,KOR,59,0.94,55.21
142,34,DA BEEN HEO,KOR,57,0.93,53.04
143,-4,Andrea Lee,USA,27,0.93,32.46
144,4,Ayaka Watanabe,JPN,63,0.92,57.74
145,-1,Ye Rim CHOI,KOR,59,0.92,54.06
146,-4,Lindsey Weaver,USA,46,0.91,41.95
147,-1,Jenny Coleman,USA,54,0.9,48.76
148,-3,Anne van Dam,NED,54,0.89,48.31
149,1,Alena Sharp,CAN,54,0.89,48.11
150,-7,Sun Ju AHN,KOR,36,0.88,31.77
151,-4,Ji Hyun OH,KOR,54,0.88,47.58
152,-1,Hae Rym KIM,KOR,57,0.88,49.88
153,0,Kana Mikashima,JPN,67,0.87,58.41
154,-5,yu jin sung,KOR,50,0.87,43.52
155,14,So Yi KIM,KOR,58,0.87,50.2
156,-4,Teresa Lu,TPE,66,0.86,56.72
157,-1,Pernilla Lindberg,SWE,53,0.84,44.27
158,-4,Min Sun5 KIM,KOR,57,0.83,47.13
159,-2,Jing Yan,CHN,57,0.83,47.13
160,-2,Julie KIM,KOR,35,0.82,28.82
161,14,Pei-Ying Tsai,TPE,68,0.82,55.46
162,-7,Jin Seon HAN,KOR,61,0.81,49.69
163,7,Sumika Nakasone,JPN,51,0.81,41.52
164,-5,Wichanee Meechai,THA,45,0.81,36.59
165,-3,Sarah Kemp,AUS,50,0.8,40
166,-5,Linnea Strom,SWE,55,0.8,43.97
167,-7,Jaye Marie Green,USA,54,0.8,43.16
168,-4,Marianne Skarpnord,NOR,44,0.8,35.12
169,4,Kotone Hori,JPN,50,0.79,39.53
170,2,Woo Jeong KIM,KOR,56,0.79,44.13
171,-6,Albane Valenzuela,SUI,26,0.78,27.44
172,-9,Bo Ah KIM,KOR,60,0.78,46.82
173,-5,Serena Aoki,JPN,71,0.78,55.27
174,-8,Kelly Tan,MAS,48,0.77,37.17
175,-8,Bianca Pagdanganan,PHI,20,0.77,27.09
176,1,Nozomi Uetake,JPN,46,0.77,35.56
177,-6,Saiki Fujita,JPN,64,0.77,49.38
178,2,Se Lin HYUN,KOR,31,0.75,26.24
179,-5,Bo Mi KWAK,KOR,56,0.74,41.65
180,4,Jee hyun Ahn,KOR,39,0.73,28.39
181,-2,Pornanong Phatlum,THA,55,0.72,39.69
182,-4,Caroline Hedwall,SWE,43,0.72,30.86
183,-1,Chae-Young Yoon,KOR,64,0.7,44.63
184,-1,Jeongeun Lee,KOR,44,0.7,30.6
185,-4,Min Kyung CHOI,KOR,57,0.69,39.28
186,0,Bo Mee LEE,KOR,59,0.69,40.56
187,-2,Aditi Ashok,IND,51,0.68,34.93
188,2,Miki Sakai,JPN,73,0.68,49.78
189,-1,Asuka Kashiwabara,JPN,71,0.68,48.29
190,4,Haruka Morita-WanyaoLu,CHN,64,0.67,42.98
191,0,Shina Kanazawa,JPN,63,0.67,42.26
192,-3,Jane Park,USA,40,0.67,26.69
193,3,Jin Hee Im,KOR,45,0.67,30.01
194,-2,Saki Nagamine,JPN,67,0.66,44.46
195,-2,Olivia Cowan,GER,37,0.66,24.51
196,-9,Jeong Min CHO,KOR,58,0.66,38.27
197,2,Yuka Yasuda,JPN,39,0.66,25.72
198,-3,Min Song HA,KOR,60,0.65,39.26
199,77,Mao Nozawa,JPN,58,0.65,37.7
200,-3,Dana Finkelstein,USA,44,0.65,28.5
201,-3,Maria Fernanda Torres,PUR,54,0.64,34.64
202,-2,Maria Fassi,MEX,38,0.64,24.36
203,8,Mayu Hamada,JPN,65,0.63,41.2
204,-2,Lee-Anne Pace,RSA,35,0.63,22.16
205,3,Su Ji KIM,KOR,57,0.63,35.66
206,-5,Yeun Jung SEO,KOR,59,0.62,36.83
207,2,Seul Ki Lee,KOR,33,0.62,21.73
208,-5,Ah-Reum Hwang,KOR,67,0.62,41.53
209,-2,Ji Hee LEE,KOR,60,0.62,37.18
210,-5,U Ree JUN,KOR,57,0.62,35.21
211,-7,Hikaru Yoshimoto,JPN,69,0.62,42.57
212,-6,Hee-Kyung Bae,KOR,66,0.61,40.56
213,-3,Brittany Lang,USA,47,0.61,28.74
214,7,Eun Woo CHOI,KOR,57,0.61,34.7
215,-3,Ji Sun KANG,KOR,38,0.6,22.69
216,0,Sanna Nuutinen,FIN,51,0.6,30.42
217,2,Nuria Iturrioz,ESP,45,0.59,26.53
218,-4,Luna Sobron Galmes,ESP,42,0.59,24.71
219,3,Hikari  Tanabe,JPN,53,0.59,31.14
220,-5,Hina Arakaki,JPN,67,0.58,39.11
221,-8,Saki Asai,JPN,74,0.58,43.04
222,-5,Na-Ri Lee,KOR,57,0.58,33.12
223,-5,Daniela Holmqvist,SWE,39,0.58,22.58
224,-1,Seung Yeon LEE,KOR,61,0.58,35.26
225,11,Shiho Oyama,JPN,47,0.57,26.76
226,-6,Julia Engstrom,SWE,36,0.57,20.4
227,-3,Ha Neul Kim,KOR,52,0.56,29.18
228,-1,Reika Usui,JPN,58,0.56,32.42
229,-4,Maja Stark,SWE,7,0.56,19.52
230,-4,Celine Herbin,FRA,50,0.56,27.82
231,0,Weiwei Zhang,CHN,32,0.55,19.38
232,-4,Laura Fuenfstueck,GER,40,0.55,22.05
233,15,Hee Ji KIM,KOR,14,0.55,19.21
234,-4,Mika Miyazato,JPN,53,0.55,29.01
235,-3,Robynn Ree,USA,38,0.55,20.73
236,5,Ga Eun Song,KOR,22,0.54,19.05
237,-3,Ji Su KIM,KOR,33,0.54,19.01
238,-5,Tiffany Chan,HKG,43,0.54,23.31
239,-10,Seul Gi JEONG,KOR,57,0.54,30.81
240,-1,Sakura Yokomine,JPN,48,0.54,25.85
241,-6,Chie Arimura,JPN,63,0.54,33.77
242,-4,Emma Talley,USA,52,0.53,27.8
243,0,Lindy Duncan,USA,51,0.53,27.25
244,3,Seung Hui RO,KOR,32,0.53,18.63
245,-8,Kana Nagai,JPN,72,0.53,38.31
246,5,Alice Hewson,ENG,21,0.53,18.6
247,-7,Ruixin Liu,CHN,47,0.53,24.91
248,4,So Hyun Bae,KOR,24,0.53,18.53
249,17,Karen Tsuruoka,JPN,43,0.52,22.41
250,-6,Jeong Mee HWANG,KOR,33,0.52,18.24
251,-5,Ree An KIM,KOR,31,0.52,18.2
252,-10,Su Yeon JANG,KOR,56,0.52,29.11
253,-8,Haeji Kang,KOR,46,0.52,23.75
254,-4,Ssu-Chia Cheng,TPE,51,0.51,26.26
255,-2,Akira Yamaji,JPN,63,0.51,32.04
256,-7,SEO JIN Park,KOR,57,0.51,28.87
257,2,Ayako Kimura,JPN,68,0.5,34.2
258,-4,Mariah Stackhouse,USA,46,0.5,22.91
259,6,Nana Yamashiro,JPN,50,0.49,24.74
260,4,Nanoko Hayashi,JPN,52,0.49,25.66
261,-1,Ayako Uehara,JPN,56,0.49,27.59
262,-4,Rose Zhang,USA,9,0.49,17.2
263,-8,Yoon Kyung HEO,KOR,34,0.49,17.17
264,4,Hye Lim JO,KOR,31,0.49,17.11
265,-9,Harukyo Nomura,JPN,33,0.49,17.05
266,-3,Dottie Ardina,PHI,48,0.49,23.38
267,-5,Shoko Sasaki,JPN,71,0.48,34.28
268,-11,Peiyun Chien,TPE,55,0.48,26.5
269,-2,Yeon Ju JUNG,KOR,56,0.48,26.9
270,-9,So Yeon PARK,KOR,59,0.47,27.92
271,1,Lucy Li,USA,19,0.47,16.52
272,-1,Nana  Suganuma,JPN,53,0.47,24.94
273,17,Asuka Ishikawa,JPN,49,0.47,22.87
274,-5,Char Young2 KIM,KOR,43,0.46,19.99
275,-5,Misuzu Narita,JPN,64,0.46,29.61
276,5,Gyeol PARK,KOR,57,0.46,26.12
277,-3,Mami Fukuda,JPN,66,0.46,30.16
278,-5,Pavarisa Yoktuan,THA,40,0.46,18.21
279,-4,Hana Lee,KOR,21,0.45,15.89
280,-3,Jennifer Chang,USA,26,0.44,15.52
281,-2,Sarah Burnham,USA,40,0.44,17.64
282,-4,Charlotte Thomas,ENG,37,0.43,16.08
283,10,Sae Ro Mi KIM,KOR,30,0.43,15.19
284,-4,Hee Won NA,KOR,62,0.43,26.55
285,14,Rumi Yoshiba,JPN,73,0.42,30.9
286,-3,Hyo Rin LEE,KOR,59,0.42,24.78
287,5,Hyo Moon KIM,KOR,30,0.42,14.67
288,1,Minami Hiruta,JPN,65,0.42,27.17
289,6,Gi Ppuem LEE,KOR,57,0.42,23.79
290,-5,Klara Spilkova,CZE,36,0.41,14.9
291,-5,Gemma Dryburgh,SCO,44,0.41,18.11
292,-8,Manon De Roey,BEL,47,0.41,19.34
293,-11,Yuna Takagi,JPN,50,0.41,20.53
294,-7,Christine Wolf,AUT,44,0.41,18.04
295,-4,Seira Oki,JPN,55,0.41,22.47
296,-2,Esther Lee,USA,43,0.4,17.27
297,6,Casey Danielson,USA,43,0.4,17.06
298,37,Ursula Wikstrom,FIN,37,0.39,14.6
299,-2,Ana Belac,SLO,22,0.39,13.79
300,-4,Fatima Fernandez Cano,ESP,46,0.39,18.08
301,0,Yea Lin Kang,KOR,20,0.39,13.66
302,7,Naruha  Miyata,JPN,50,0.39,19.45
303,-5,Na Yeon Choi,KOR,41,0.39,15.94
304,-4,Karolin Lampert,GER,36,0.39,13.91
305,-3,Hyun Soo KIM,KOR,50,0.38,19.13
306,1,Pia Babnik,SLO,17,0.38,13.33
307,9,Ji min Jung,KOR,24,0.38,13.28
308,-2,Kaitlyn Papp,USA,6,0.38,13.24
309,-4,Hiroko Azuma,JPN,69,0.37,25.64
310,-6,Ju Yeon IN,KOR,57,0.37,21.18
311,0,Momo Yoshikawa,JPN,51,0.37,18.93
312,-2,Babe Liu,TPE,30,0.37,12.94
313,2,Ran HONG,KOR,55,0.37,20.27
314,-6,Kylie Walker,SCO,41,0.37,15.06
315,-2,Leonie Harm,GER,16,0.36,12.63
316,6,Asako Fujimoto,JPN,69,0.35,24.3
317,-5,Yuting Shi,CHN,49,0.35,17.25
318,1,Johanna Gustavsson,SWE,42,0.35,14.77
319,14,Eun Soo JANG,KOR,50,0.35,17.39
320,-6,Meghan MacLaren,ENG,50,0.35,17.38
321,-3,Maude-Aimee Leblanc,CAN,35,0.35,12.15
322,-2,Kelsey MacDonald,SCO,33,0.34,12.04
323,-6,Mariajo Uribe,COL,30,0.34,11.93
324,2,Muni He,CHN,38,0.34,12.95
325,-4,Aoi Ohnishi,JPN,53,0.34,18.03
326,1,Yan Liu,CHN,35,0.34,11.8
327,-4,Ye Jin KIM,KOR,42,0.33,13.98
328,12,jung min hong,KOR,19,0.33,11.64
329,-5,Mohan Du,CHN,26,0.33,11.6
330,-5,Yu-Ju Chen,TPE,23,0.33,11.53
331,-3,Ju Hee Son,KOR,25,0.33,11.5
332,-3,Kumiko Kaneda,JPN,61,0.32,19.79
333,-2,Hana Wakimoto,JPN,65,0.32,20.9
334,3,Su Jin3 Lee,KOR,35,0.32,11.08
335,-5,Rei Matsuda,JPN,69,0.32,21.75
336,-4,Haruka Kudo,JPN,49,0.31,15.36
337,-3,Tiffany Joh,USA,50,0.31,15.58
338,1,Sophie Hausmann,GER,29,0.31,10.9
339,-1,Ruoning Yin,CHN,17,0.31,10.85
340,-4,Katherine Perry-Hamski,USA,34,0.31,10.84
341,1,Hiromu Ono,JPN,56,0.31,17.1
342,17,Karis Davidson,AUS,50,0.3,15.03
343,1,Hsuan-Yu Yao,TPE,46,0.3,13.79
344,-3,Carly Booth,SCO,30,0.3,10.43
345,-2,Ji Hyun2 LEE,KOR,58,0.3,17.22
346,-1,Chia Yen  Wu,TPE,21,0.29,10.2
347,4,Megumi Kido,JPN,68,0.29,19.8
348,0,Ho-yu An,TPE,15,0.29,10.19
349,-3,Mind Muangkhumsakul,THA,43,0.29,12.49
350,10,Kendall Dye,USA,39,0.29,11.29
351,14,Eimi Koga,JPN,64,0.29,18.51
352,-2,Lauren Coughlin,USA,44,0.29,12.7
353,-1,Eleanor Givens,ENG,33,0.29,10.07
354,3,Morgane Metraux,SUI,23,0.29,10.03
355,-2,Budsabakorn Sukapan,THA,31,0.29,10
356,-7,Paula Creamer,USA,30,0.29,9.98
357,4,Jae Hee Kim,KOR,21,0.28,9.97
358,6,Bo Bae2 KIM,KOR,41,0.28,11.66
359,-5,Alana Uriell,USA,35,0.28,9.96
360,-2,Lauren Kim,USA,36,0.28,10.24
361,1,Momoko Kishibe,JPN,38,0.28,10.8
362,-7,Marissa Steen,USA,47,0.28,13.36
363,0,Caroline Inglis,USA,21,0.28,9.89
364,5,Miki Saiki,JPN,38,0.28,10.71
365,3,Janie Jackson,USA,46,0.28,12.96
366,5,ji hyun3 lee,KOR,49,0.28,13.73
367,3,Xiaowen Yin,CHN,16,0.28,9.78
368,74,Tvesa Malik,IND,34,0.28,9.75
369,3,Megha Ganne,USA,3,0.28,9.75
370,7,Ye Nah HWANG,KOR,34,0.28,9.7
371,-15,Chae Lin YANG,KOR,45,0.28,12.46
372,2,Daniela Darquea,ECU,42,0.28,11.61
373,-6,Saranporn Langkulgasettrin,THA,64,0.28,17.69
374,-27,Mo Martin,USA,25,0.28,9.65
375,-9,Eun Bin LIM,KOR,60,0.27,16.44
376,0,Maria Shinohara,JPN,64,0.27,17.32
377,-2,Yu-Chiang Hou,TPE,25,0.27,9.43
378,1,Yuki Ichinose,JPN,37,0.27,9.93
379,-1,Annabel Dimmock,ENG,33,0.27,9.39
380,-7,Isi Gabsa,GER,44,0.27,11.76
381,-1,Paula Reto,RSA,46,0.27,12.24
382,-1,Akie Iwai,JPN,11,0.27,9.3
383,2,Mio Kotaki,JPN,58,0.27,15.37
384,3,Lydia Hall,WAL,40,0.26,10.53
385,-2,Eun Hye Jo,KOR,36,0.26,9.44
386,-4,Hee Won Jung,KOR,38,0.26,9.96
387,-3,Chloe Williams,WAL,34,0.26,9.13
388,1,Hikari Kawamitsu,JPN,42,0.26,10.84
389,-3,Saki Takeo,JPN,59,0.26,15.08
390,8,Miyu Shinkai,JPN,59,0.26,15.07
391,3,Magdalena Simmermacher,ARG,39,0.26,9.94
392,-4,Rie Tsuji,JPN,69,0.25,17.5
393,9,Rae Hyeon KU,KOR,20,0.25,8.67
394,-4,Wenbo Liu,CHN,25,0.25,8.64
395,-4,Yumiko Yoshida,JPN,45,0.24,10.94
396,-3,Eriko Kobashi,JPN,51,0.24,12.32
397,-2,Kristy McPherson,USA,38,0.24,9.1
398,-6,Shin Young PARK,KOR,47,0.24,11.19
399,-2,Kokone Yoshimoto,JPN,63,0.24,14.95
400,22,Lilia Vu,USA,28,0.23,8.22
401,14,Joo Mi Lee,KOR,23,0.23,8.21
402,-1,Karin Takeyama,JPN,39,0.23,9.12
403,-7,Miyuki Takeuchi,JPN,56,0.23,13.09
404,12,Ka Ram CHOI,KOR,55,0.23,12.75
405,23,Diksha Dagar,IND,43,0.23,9.89
406,-7,Yu-Sang Hou,TPE,15,0.23,7.99
407,1,Younkyo Kim,KOR,36,0.23,8.22
408,-8,Felicity Johnson,ENG,39,0.23,8.88
409,2,Song Yeon KIM,KOR,51,0.23,11.48
410,-7,MI JEONG GONG,KOR,24,0.23,7.88
411,-6,Jae-Eun Chung,KOR,63,0.22,13.95
412,-8,Choi Robyn,AUS,46,0.22,10.11
413,-7,Bailey Tardy,USA,44,0.22,9.56
414,4,Mizuki Oide,JPN,60,0.22,13.01
415,18,Allison Emrey,USA,43,0.22,9.31
416,-6,Simin Feng,CHN,35,0.22,7.53
417,-5,Liz Young,ENG,27,0.21,7.49
418,-9,Lucrezia Colombotto Rosso,ITA,39,0.21,8.34
419,-12,Q Baek,KOR,37,0.21,7.85
420,6,Laura Wearn,USA,44,0.21,9.3
421,-4,Wenny CHANG,TPE,34,0.21,7.38
422,-8,Kaori Ohe,JPN,45,0.21,9.47
423,-10,Parinda  PHOKAN,THA,26,0.21,7.3
424,1,Mayu Hirota,JPN,36,0.21,7.5
425,-1,Lucie Malchirand ,FRA,7,0.21,7.17
426,-7,Ji Hyun2 KIM,KOR,38,0.2,7.72
427,-7,Mizuki Tanaka,JPN,67,0.2,13.59
428,43,Se Eun Kim,KOR,50,0.2,10.13
429,-8,Eri Fukuyama,JPN,62,0.2,12.54
430,-7,Seo Hyeon YOUN,KOR,40,0.2,8.04
431,5,Karen Chung,USA,38,0.2,7.62
432,-2,Maha Haddioui,MAR,33,0.2,7.01
433,12,Amanda Doherty,USA,20,0.2,7
434,-7,He Yong Choi,KOR,48,0.2,9.49
435,0,Rena Ishikawa,JPN,20,0.2,6.91
436,17,Kim Metraux,SUI,38,0.2,7.46
437,0,Haylee Harford,USA,22,0.2,6.84
438,-9,Sandra Gal,GER,30,0.2,6.84
439,-8,Erina Hara,JPN,65,0.2,12.7
440,-6,Tonje Daffinrud,NOR,41,0.19,7.98
441,2,Hyunji Ryu,KOR,37,0.19,7.19
442,-3,Linnea Johansson,SWE,45,0.19,8.72
443,1,Yoko Maeda,JPN,65,0.19,12.59
444,-12,Yul Lin HWANG,KOR,53,0.19,10.24
445,-5,Sarah Schober,AUT,34,0.19,6.72
446,9,Rio Ishii,JPN,48,0.19,9.22
447,-9,Satsuki Ohshiro,JPN,67,0.19,12.86
448,19,Tiia Koivisto,FIN,43,0.19,8.24
449,5,Yu-Ling Hsieh,TPE,38,0.19,7.26
450,-4,Yanhong Pan,CHN,17,0.19,6.67
451,-10,Tzu-Chi Lin,TPE,45,0.19,8.57
452,-5,Yiyi Liu,CHN,19,0.19,6.66
453,15,Fumie Jo,JPN,50,0.19,9.46
454,4,Rie Iwahashi,JPN,44,0.19,8.32
455,5,Miki Uehara,JPN,36,0.19,6.78
456,-8,Yun Jie Zhang,CHN,28,0.19,6.59
457,-1,You min Hwang,KOR,8,0.19,6.59
458,1,Yukari Nishiyama,JPN,53,0.19,9.96
459,-10,Carrie Park,KOR,33,0.19,6.58
460,-9,Yaeeun Hong,KOR,28,0.19,6.58
461,-11,Da Na KIM,KOR,31,0.19,6.56
462,-10,Becky Morgan,WAL,34,0.19,6.49
463,-6,Amy Boulden,WAL,44,0.18,8.12
464,-3,Linn Grant,SWE,2,0.18,6.46
465,-1,Frida Kinhult,SWE,25,0.18,6.39
466,0,Samantha Wagner,USA,41,0.18,7.46
467,-2,Jienalin Zhang,CHN,33,0.18,6.35
468,-5,Ayano Yasuda,JPN,67,0.18,12.1
469,3,Min Seo Kwak,KOR,45,0.18,8.13
470,-8,Dewi Weber,NED,40,0.18,7.15
471,-2,Maria Parra,ESP,45,0.18,8.03
472,34,Su Bin PARK,KOR,29,0.18,6.24
473,-3,Gabriella Cowley,ENG,40,0.18,7.12
474,5,Lina Boqvist,SWE,37,0.18,6.56
475,0,Agathe Sauzon,FRA,43,0.18,7.6
476,-3,Hikari Fujita,JPN,43,0.18,7.58
477,-3,P.K. Kongkraphan,THA,19,0.18,6.15
478,2,Louise Ridderstrom,SWE,38,0.17,6.63
479,-3,Whitney Hillier,AUS,40,0.17,6.92
480,-3,You-Na Park,KOR,35,0.17,6.01
481,0,shin sil bang,KOR,8,0.17,6
482,37,Ji Won Hong,KOR,13,0.17,5.97
483,-1,So Hye Park,KOR,44,0.17,7.43
484,-6,Clariss Guce,PHI,41,0.17,6.86
485,14,Young Min Chi,KOR,39,0.17,6.51
486,-2,Seung Hyun LEE,KOR,42,0.17,6.99
487,2,Beth Wu,USA,12,0.17,5.83
488,-5,Eun Song Choi,KOR,37,0.17,6.16
489,5,Sarah Jane Smith,AUS,36,0.17,5.96
490,1,Min-G Kim,KOR,45,0.17,7.43
491,-5,Julieta Granada,PAR,38,0.16,6.23
492,-2,Cheng-Hsuan SHIH,TPE,22,0.16,5.73
493,-5,Do Yeon Kim,KOR,27,0.16,5.72
494,-2,Ayaka Matsumori,JPN,50,0.16,8.15
495,-10,Chonlada Chayanun,THA,33,0.16,5.69
496,1,Maria Hernandez,ESP,37,0.16,6
497,10,Cloe Frankish,ENG,45,0.16,7.26
498,-11,Daniela Iacobelli,USA,40,0.16,6.44
499,-3,Yu Tajima,JPN,60,0.16,9.65
500,-5,Yue Ren,CHN,27,0.16,5.62
501,3,Rieru Shibusawa,JPN,27,0.16,5.51
